date,open,high,low,close,volume
2025-01-27,192.41,196.88,190.73,191.81,41728893.0
2025-01-28,192.745,195.48,190.68,195.3,24157929.0
2025-01-29,195.555,196.785,193.43,195.41,18218256.0
2025-01-30,198.0,201.4,197.67,200.87,24354684.0
2025-01-31,202.0,205.48,201.8,204.02,32041952.0
2025-02-03,200.69,203.75,200.1,201.23,27838348.0
2025-02-04,203.39,207.05,202.81,206.38,43856425.0
2025-02-05,191.07,192.75,188.03,191.33,70461770.0
2025-02-06,189.5,192.1,188.72,191.6,29297442.0
2025-02-07,191.05,191.18,183.24,185.34,49314961.0
2025-02-10,187.35,188.2,185.86,186.47,23105649.0
2025-02-11,185.03,186.94,184.28,185.32,21239519.0
2025-02-12,183.22,185.11,181.83,183.61,22072559.0
2025-02-13,184.32,186.28,183.14,186.14,21402523.0
2025-02-14,185.055,186.4,184.32,185.23,20448437.0
2025-02-18,185.6,185.96,181.7401,183.77,29916675.0
2025-02-19,184.07,185.46,183.59,185.27,19549396.0
2025-02-20,184.8,185.31,182.72,184.56,20441462.0
2025-02-21,185.15,185.34,179.08,179.66,35199239.0
2025-02-24,181.99,183.12,178.885,179.25,29854206.0
2025-02-25,178.04,178.74,174.6939,175.42,41913411.0
2025-02-26,175.07,176.08,171.5807,172.73,35431268.0
2025-02-27,173.99,174.56,167.94,168.5,39991015.0
2025-02-28,168.68,170.61,166.77,170.28,48130565.0
2025-03-03,171.925,173.37,165.93,167.01,40770451.0
2025-03-04,166.24,173.2946,165.8,170.92,45387996.0
2025-03-05,170.52,173.78,169.06,173.02,30954922.0
2025-03-06,170.53,174.81,170.5,172.35,28301953.0
2025-03-07,171.26,174.97,170.27,173.86,27385813.0
2025-03-10,168.26,168.46,163.69,165.87,43377356.0
2025-03-11,164.91,166.75,161.37,164.04,39587414.0
2025-03-12,166.58,167.6399,163.53,167.11,28372396.0
2025-03-13,166.035,166.13,162.11,162.76,31756214.0
2025-03-14,163.27,166.49,162.45,165.49,31995894.0
2025-03-17,165.03,166.3,163.67,164.29,31184335.0
2025-03-18,163.675,164.25,156.72,160.67,42074751.0
2025-03-19,161.76,165.87,161.0,163.89,34275582.0
2025-03-20,161.57,164.89,160.96,162.8,28138464.0
2025-03-21,161.205,164.24,160.8901,163.99,36625764.0
2025-03-24,167.065,168.32,165.14,167.68,30879129.0
2025-03-25,168.98,170.63,168.315,170.56,24174373.0
2025-03-26,169.0,169.61,164.84,165.06,28939326.0
2025-03-27,164.63,165.42,162.0,162.24,24508273.0
2025-03-28,160.49,161.82,153.63,154.33,48669335.0
2025-03-31,153.11,155.54,150.662,154.64,54603464.0
2025-04-01,153.62,158.1,153.62,157.07,30672899.0
2025-04-02,155.15,158.4052,154.7,157.04,25041730.0
2025-04-03,151.11,152.7799,150.39,150.72,46883371.0
2025-04-04,148.01,151.07,145.38,145.6,62259539.0
2025-04-07,141.55,152.85,140.53,146.75,76794136.0
2025-04-08,151.22,152.24,143.03,144.7,52200208.0
2025-04-09,144.415,159.55,143.905,158.71,70406232.0
2025-04-10,156.54,157.72,149.93,152.82,48021972.0
2025-04-11,152.9,157.67,152.82,157.14,33636239.0
2025-04-14,159.995,161.72,157.56,159.07,30332957.0
2025-04-15,159.125,159.65,155.21,156.31,27551534.0
2025-04-16,153.1,155.89,151.51,153.33,28187421.0
2025-04-17,154.29,154.68,148.5,151.16,33046576.0
2025-04-21,148.88,148.945,146.1,147.67,26049115.0
2025-04-22,148.89,152.19,148.54,151.47,26971774.0
2025-04-23,155.61,157.525,153.81,155.35,31128833.0
2025-04-24,156.15,159.59,155.79,159.28,45893951.0
2025-04-25,165.07,166.1,161.04,161.96,56033995.0
